file,date,trip,source
33886_Rock_Creek.gpx,2016-09-23,Rock Creek Park,hikearizona
35761_City_Creek.gpx,2017-03-26,City Creek Loop,hikearizona
35933_Club_Ranch.gpx,2016-03-05,Club Cabin,hikearizona
35935_Mazatzal_P.gpx,2016-04-02,Mazatzal Peak Loop,hikearizona
36135_Copper_Cam.gpx,2017-04-14,Copper Camp Loop,hikearizona
36587_Mazatzal_P.gpx,2017-05-06,Mazatzal Peak Super Loop,hikearizona
36737_Deer_Creek.gpx,2017-05-21,Deer Creek Loop,hikearizona
36991_S_Mazatzal.gpx,2017-06-12,S Mazatzal Roundup,hikearizona
37074_Verde_Rive.gpx,2017-06-24,Verde River / Deadman Mesa,hikearizona
37172_South_Fork.gpx,2016-07-08,South Fork - Gold Ridge Loop,hikearizona
37747_Club_Ranch.gpx,2017-09-01,Club Cabin,hikearizona
38315_Verde_Rive.gpx,2017-11-05,Verde River / Red Creek,hikearizona
38408_Sheep_Cree.gpx,2017-11-17,Sheep Creek Cabin,hikearizona
38742_Fuller_See.gpx,2017-12-29,Fuller Seep Loop,hikearizona
39258_Fig_Trail_.gpx,2018-02-11,Fig Trail and a Kayak,hikearizona
40409_Barnhardt_.gpx,2018-06-03,Barnhardt - Sandy Saddle Loop,hikearizona
40522_Sheep_Brid.gpx,2019-06-09,Sheep Bridge / Mountain Spring Loop,hikearizona
47532_Midnight_M.gpx,2018-09-03,Midnight Mesa Loop,hikearizona
48135_Red_Crk___.gpx,2018-11-11,Red Crk / Wet Btm / Highwater / Verde,hikearizona
48331_Upper_Maza.gpx,2018-12-05,Upper Mazatzal Loop,hikearizona
RS_BlackRidgeLoop-Mazat_184205.gpx,2021-02-27,Black Ridge Loop,traildex
RS_LittleSaddleMountain_174900.gpx,2020-04-12,Little Saddle Mountain Loop,traildex
RS_MountPeeleySummit_196419.gpx,2022-05-12,Mount Peeley Summit,traildex
RS_NorthForkFallsofDead_174147.gpx,2020-03-21,North Fork Falls of Deadman Canyon,traildex
RS_SandySaddleTM12_231525.gpx,2026-05-23,Sandy Saddle TM 12,traildex
